"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"22",7.34925994228766e-07,0.00224737263081204,1.41740876260332e-08,0.867095223974079,0.130600260477721,5.63938173057511e-05
"23",4.71273492920893e-07,0.000567147982643644,3.42343698293812e-09,0.946408683262043,0.053020837993439,2.85606494405007e-06
"24",2.90168706138278e-07,0.000910994823919219,2.55369394098781e-09,0.449736263045482,0.549329312691011,2.31367171876145e-05
"25",2.18783206491268e-06,0.00363607878756988,3.51676885962512e-09,0.497900125072941,0.498453669273574,7.93551708062112e-06
"26",3.85029205851791e-07,0.00158841587216155,1.92584166524519e-09,0.0583048601232819,0.940082991448815,2.33456006939759e-05
"27",3.61677374977363e-07,0.0016253737568544,7.34810697093097e-10,0.0197744223821381,0.978590202252545,9.63919627692867e-06
"28",1.95030855722536e-05,0.0241028621143868,7.01573634515455e-08,0.0282269609437908,0.947632139598779,1.84641001076555e-05
"29",4.00341900764798e-07,0.00176916813910178,9.24755144862881e-11,0.00310567201034511,0.995123489086388,1.27032978889881e-06
"30",5.30780676672528e-13,4.10739483547174e-08,2.75594792270156e-15,0.999614977569408,0.000384979849016793,1.50709336912172e-09
"31",5.57576670096742e-11,6.27708060624542e-07,8.49764332863755e-13,0.99911450550296,0.00088484020800593,2.65243664036017e-08
"32",1.33314813331474e-09,4.49760822776612e-06,2.24195530283043e-12,0.997999279919728,0.00199620290628761,1.82303661612246e-08
"33",2.33300086395924e-12,9.80987571138403e-08,9.49254695486036e-15,0.999445705976846,0.000554193598482679,2.32357195340587e-09
"34",1.1460450222691e-08,1.66917540990551e-05,6.65850802660957e-10,0.995665061365153,0.00431717201528533,1.06273916185386e-06
"35",1.25197492457686e-12,7.5217647222332e-08,1.12545528162775e-16,0.999879660200492,0.000120264543325498,3.72835095108994e-11
"36",8.45205789495885e-12,2.08398966007915e-07,1.81227785032045e-13,0.999280117146749,0.000719657380076225,1.70655753543819e-08
"37",5.76164450452412e-09,1.07672364589638e-05,4.52594377237192e-11,0.996359038679575,0.0036300392591189,1.4901794273531e-07
"38",1.23377421645281e-10,9.89286774750958e-07,3.0025751958457e-12,0.99866736925632,0.0013315720941266,6.9236398630291e-08
"39",4.74692545217994e-10,2.2697440989719e-06,9.3025164990664e-13,0.998453327462609,0.00154438886005299,1.34576159637843e-08
"40",1.20247268269906e-10,1.00649834780643e-06,9.77902319234383e-13,0.998842344498533,0.00115662333073549,2.55511587656247e-08
"41",6.32390768421657e-13,4.7666285897982e-08,8.7645625342913e-16,0.999697723738839,0.000302228136242296,4.57999862794027e-10
"42",1.18240702009061e-10,8.6357986132863e-07,7.37519242867004e-13,0.998852006612654,0.00114710915287157,2.05356347058344e-08
"43",2.13981452084356e-13,2.18019960959641e-08,1.63298841209313e-15,0.999730718871207,0.000269258074968589,1.25161289033571e-09
"44",1.03425866517961e-10,7.82295208161062e-07,1.24485042467675e-12,0.99885415488859,0.00114502858372785,3.41278034435165e-08
"45",7.47221977763605e-11,6.44735563614957e-07,2.2610680940761e-12,0.998937775981833,0.00106151748808787,6.17175322948944e-08
"46",1.0126787095822e-11,2.5598476647311e-07,5.51240775002788e-14,0.998730063247777,0.00126967231713077,8.44014341979255e-09
"47",9.31112044299513e-10,3.44692097491205e-06,2.40550668428423e-11,0.997439543089267,0.00255685181396813,1.5722062245469e-07
"48",4.27303845898207e-09,1.02867476200072e-05,3.22418352891004e-10,0.996273476212889,0.00371527458166051,9.57862373680568e-07
"49",1.87124959629003e-11,6.03143439363823e-07,7.37491939797607e-14,0.995281948885995,0.00471742776881958,2.01829600328353e-08
"50",2.48439313634833e-10,2.00177203480395e-06,1.88448867511973e-12,0.99748703048886,0.00251091986062185,4.76281600088089e-08
"51",2.9150322774741e-09,7.1311185217858e-06,2.12037751483298e-11,0.996900046671325,0.00309271096172458,1.08312193066585e-07
"52",1.0633751839496e-09,4.23119933094196e-06,2.71714919530366e-11,0.997185927079615,0.00280961378524472,2.26845263204719e-07
"53",9.84456217621112e-10,3.61578418299962e-06,7.08888216949767e-12,0.997649372549031,0.00234694204343574,6.86318055222131e-08
"54",8.51361177526917e-10,1.24440052315697e-05,1.89131428203238e-11,0.984566985468278,0.0154185289871114,2.04066910456348e-06
"55",4.96583513928411e-07,0.00139174294663925,5.2094786192954e-08,0.903582625396958,0.0946433297028809,0.00038175327522193
