"","(1,R1)","(2,R1)"
"216",3.608972637356e-05,0.999963910273626
"217",1.33228616405538e-06,0.999998667713836
"218",1.37751806989501e-05,0.999986224819301
"219",1.49337352886743e-05,0.999985066264711
"220",2.27856075483749e-05,0.999977214392452
"221",2.79942465526978e-06,0.999997200575345
"222",1.67008632209707e-05,0.999983299136779
"223",1.23764740882997e-06,0.999998762352591
"224",6.32478003905436e-05,0.999936752199609
"225",1.10773007256438e-06,0.999998892269927
"226",1.92238180167536e-05,0.999980776181983
"227",2.86855330622581e-06,0.999997131446694
"228",2.70795737446756e-05,0.999972920426255
"229",7.98702911675202e-06,0.999992012970883
"230",2.85738320867456e-05,0.999971426167913
"231",1.78078299298333e-05,0.99998219217007
"232",7.69112635270765e-06,0.999992308873647
"233",0.00285189245079598,0.997148107549204
"234",0.0203222791956073,0.979677720804393
"235",0.927266687795301,0.0727333122046993
"236",0.000263792863304275,0.999736207136696
"237",4.03522551404434e-06,0.999995964774486
"238",9.61546586670658e-07,0.999999038453413
"239",9.36143302838512e-08,0.99999990638567
"240",1.28548422514633e-06,0.999998714515775
"241",3.57014434490148e-08,0.999999964298557
"242",8.91429571157045e-07,0.999999108570429
"243",5.08528816301019e-08,0.999999949147118
"244",6.50452687500707e-07,0.999999349547313
"245",9.58549826031002e-08,0.999999904145017
"246",2.91946829609279e-07,0.99999970805317
"247",1.4535731233003e-08,0.999999985464269
"248",7.77727911542956e-08,0.999999922227209
"249",6.54241841830044e-08,0.999999934575816
"250",0.00379149913348064,0.996208500866519
"251",0.000245173738664753,0.999754826261335
"252",0.0115247577632596,0.98847524223674
"253",0.564790839796399,0.435209160203601
"254",0.567365055677497,0.432634944322503
"255",0.970648556591744,0.0293514434082555
"256",0.98003025417134,0.01996974582866
"257",0.998611587719798,0.00138841228020205
"258",0.99995157449454,4.84255054596207e-05
"259",0.998487097742647,0.00151290225735313
"260",0.0114703521288776,0.988529647871122
"261",0.0132504137664357,0.986749586233564
"262",0.00842733820813227,0.991572661791868
"263",0.0294294543707587,0.970570545629241
"264",0.00328209555562659,0.996717904444373
"265",0.70170995326928,0.29829004673072
"266",0.956507543569294,0.0434924564307061
"267",0.710866273119928,0.289133726880072
"268",0.293857193399073,0.706142806600927
"269",0.881763710987229,0.118236289012771
"270",0.811354334437802,0.188645665562198
"271",0.989040012669289,0.010959987330711
"272",0.999624309811932,0.000375690188068093
"273",0.998604337165422,0.00139566283457834
"274",0.99997129267393,2.87073260701737e-05
"275",0.999993839116484,6.1608835161137e-06
"276",0.99999949553172,5.04468280263383e-07
"277",0.999970332694005,2.96673059951512e-05
"278",0.999999928160644,7.18393560605456e-08
"279",0.999999947817304,5.21826960614459e-08
"280",0.999998327245825,1.67275417515024e-06
"281",0.999978683339603,2.13166603973895e-05
"282",0.999997392769416,2.60723058365049e-06
"283",0.999989098989511,1.09010104886862e-05
"284",0.999987921583888,1.20784161123252e-05
"285",0.999999232223826,7.67776174299499e-07
"286",0.99998927618559,1.07238144104772e-05
"287",0.99999994740079,5.25992099949923e-08
"288",0.999999738229555,2.61770445430875e-07
"289",0.999994221680481,5.7783195192912e-06
"290",0.999996961565892,3.03843410764268e-06
"291",0.99999982945869,1.70541309713228e-07
"292",0.99999316218017,6.83781982980391e-06
"293",0.999999453357384,5.46642615577663e-07
"294",0.999997092596226,2.90740377435512e-06
"295",0.999998306789628,1.6932103718549e-06
"296",0.999997615054649,2.38494535067269e-06
"297",1.61166677701285e-07,0.999999838833322
"298",1.86381849012854e-05,0.999981361815099
"299",0.0031163430708912,0.996883656929109
"300",4.0880814879285e-05,0.999959119185121
"301",0.0762070550306643,0.923792944969336
"302",1.56130376541396e-06,0.999998438696235
"303",4.64853090299771e-05,0.99995351469097
"304",0.000133968715760303,0.99986603128424
"305",2.17568905687581e-06,0.999997824310943
"306",4.04939000372398e-05,0.999959506099963
"307",6.04685973403278e-05,0.99993953140266
"308",5.83188779027422e-06,0.99999416811221
"309",3.50469942171737e-05,0.999964953005783
"310",3.29989300103475e-05,0.99996700106999
"311",1.03179192059208e-05,0.999989682080794
