transition,trans_no,avg_time,SE_time
vertebrate to insect,12,172.18468221851865,0.22555590477891707
vertebrate to insect,13,170.62410126563785,0.24886602925631301
vertebrate to insect,14,169.05400383909816,0.27521988663366276
vertebrate to insect,15,167.2049084093679,0.30292971397993607
vertebrate to insect,16,165.30879678168748,0.33665450732893354
vertebrate to insect,17,163.23210018654117,0.36440310827558337
vertebrate to insect,18,161.34766837787208,0.3937973757187484
vertebrate to insect,19,159.2057831263953,0.42746780153886177
vertebrate to insect,20,156.8023897845047,0.48177263235395357
vertebrate to insect,21,154.32385842311743,0.5085689180671675
vertebrate to insect,22,151.64405269699253,0.563699308933297
vertebrate to insect,23,148.09040632136177,0.6808219258199489
vertebrate to insect,24,144.94312662557942,0.7391830822060068
vertebrate to insect,25,141.64720935678514,0.8134637208885342
vertebrate to insect,26,138.44902013424394,0.9046127186608278
vertebrate to insect,27,135.53061149865624,0.9431997851847352
vertebrate to insect,28,132.60741418325134,0.994944700869558
vertebrate to insect,29,130.66214856580763,1.0242734709425174
vertebrate to insect,30,126.81780394189941,1.1900927915562698
vertebrate to insect,31,124.6883104718913,1.1669421516379024
vertebrate to insect,32,121.9280929107585,1.2712357269383328
vertebrate to insect,33,118.55546511314313,1.399638848324716
vertebrate to insect,34,115.92044188288865,1.5102047731567345
vertebrate to insect,35,114.20513274652454,1.6245668255693877
vertebrate to insect,36,112.10229666681214,1.7516167088165633
vertebrate to insect,37,110.67013441249428,1.7854116429082614
vertebrate to insect,38,109.40026876520818,1.9007556253198572
vertebrate to insect,39,107.97425362802908,2.2005869613368487
vertebrate to insect,40,105.42352648233545,2.4026999637236948
vertebrate to insect,41,104.48872378925245,2.303856204398867
vertebrate to insect,42,99.86863129410702,2.8385056606306214
vertebrate to insect,43,97.28590533482709,3.045355101960198
insect to vertebrate,44,76.25663902257013,1.6246961210860842
insect to vertebrate,45,73.09703643216699,1.8714324717200914
insect to vertebrate,46,71.69246487625036,3.720196464853536
vertebrate to insect,44,96.70005673547116,2.9950928789745004
vertebrate to insect,45,93.70766669342098,3.3319760941641405
insect to vertebrate,47,73.36377185810525,3.69402018597051
vertebrate to insect,46,88.97834209100698,4.936631882668654
vertebrate to insect,47,93.07063496515143,3.5414677671365724
vertebrate to insect,48,90.68352717406485,3.8378440695703406
vertebrate to insect,49,87.68292584932661,4.254539252530105
vertebrate to insect,50,87.41332022766082,4.961890871062289
insect to vertebrate,48,74.99289709299069,4.549524307516481
insect to vertebrate,49,80.53567831001706,4.7144007621584745
insect to vertebrate,50,77.96238068073377,3.7519679259048666
insect to vertebrate,51,64.0034491295136,13.979679280616416
vertebrate to insect,51,87.37890204779771,4.730883896017494
vertebrate to insect,52,90.79686951872863,4.208545952212779
vertebrate to insect,53,83.05114005185669,4.322275122588252
vertebrate to insect,54,84.35523748225752,3.648834023824045
vertebrate to insect,55,82.15100384962373,4.863877380332934
vertebrate to insect,56,76.32440596346589,5.702549701067681
vertebrate to insect,57,77.68531377070005,12.777482799955408
vertebrate to insect,58,74.488597944074,11.946999599366904
vertebrate to insect,59,86.36794939337406,NA
vertebrate to insect,60,86.10147827968534,NA
vertebrate to insect,61,85.94766179933757,NA
vertebrate to insect,62,85.94471914173769,NA
vertebrate to insect,63,83.04239184050253,NA
vertebrate to insect,64,81.9571005495444,NA
vertebrate to insect,65,80.90692038816199,NA
